message,label
LaravelDeveloper,0
DjangoDeveloper,0
SpringBootDeveloper,0
MERNDeveloper,0
MeanStackDeveloper,0
AIResearcher,0
BusinessConsultant,0
OperationsManager,0
CustomerSuccessManager,0
TechnicalRecruiter,0
SalesManager,0
SocialMediaManager,0
ContentStrategist,0
BrandManager,0
ProductDesigner,0
VisualDesigner,0
MotionDesigner,0
VideoEditor,0
Copywriter,0
PublicRelationsExecutive,0
EventCoordinator,0
OfficeAdministrator,0
HumanResourcesManager,0
TalentAcquisitionSpecialist,0
FinancialAdvisor,0
InvestmentAnalyst,0
AuditAssociate,0
ProcurementExecutive,0
SupplyChainManager,0
LogisticsCoordinator,0
ResearchAssociate,0
LabTechnician,0
CivilEngineer,0
MechanicalEngineer,0
ElectricalEngineer,0
ElectronicsEngineer,0
ChemicalEngineer,0
BiomedicalEngineer,0
Architect,0
InteriorDesigner,0
Teacher,0
Professor,0
Trainer,0
AcademicCoordinator,0
Counselor,0
LegalAdvisor,0
Advocate,0
Paralegal,0
AdministrativeAssistant,0
Receptionist,0
CustomerCareRepresentative,0
CallCenterExecutive,0
FieldEngineer,0
ServiceEngineer,0
ImplementationEngineer,0
DeploymentEngineer,0
CloudConsultant,0
SecurityEngineer,0
PenetrationTester,0
EthicalHacker,0
SAPConsultant,0
OracleDeveloper,0
SQLDeveloper,0
BIAnalyst,0
ETLDeveloper,0
BigDataEngineer,0
HadoopDeveloper,0
SparkDeveloper,0
AnalyticsEngineer,0
CRMExecutive,0
ERPConsultant,0
SupportAssociate,0
TechnicalAssociate,0
SoftwareAssociate,0
JuniorDeveloper,0
SeniorDeveloper,0
LeadEngineer,0
EngineeringManager,0
AssistantManager,0
DeputyManager,0
GeneralManager,0
StoreManager,0
RetailExecutive,0
BranchManager,0
AreaSalesManager,0
RelationshipManager,0
InsuranceAdvisor,0
BankingAssociate,0
LoanOfficer,0
InvestmentBanker,0
MedicalRepresentative,0
Pharmacist,0
Nurse,0
Doctor,0
Physiotherapist,0
HealthcareAssistant,0
ClinicalResearchAssociate,0
LaboratoryAssistant,0
HotelManager,0
TravelConsultant,0
TourCoordinator,0
Chef,0
RestaurantManager,0
AirlineExecutive,0
CabinCrew,0
Pilot,0
GroundStaff,0
Journalist,0
Reporter,0
NewsEditor,0
Photographer,0
Animator,0
GameArtist,0
ProductionEngineer,0
QualityEngineer,0
ManufacturingEngineer,0
PlantSupervisor,0
MaintenanceEngineer,0
ProcurementManager,0
WarehouseExecutive,0
InventoryManager,0
ExportExecutive,0
ImportCoordinator,0
ComplianceOfficer,0
RiskAnalyst,0
ActuarialAnalyst,0
Statistician,0
Economist,0
PolicyAnalyst,0
EnvironmentalEngineer,0
SustainabilityConsultant,0
UrbanPlanner,0
GISAnalyst,0
ResearchScientist,0
Biotechnologist,0
GeneticsResearcher,0
AgriculturalOfficer,0
FoodTechnologist,0
TextileDesigner,0
FashionDesigner,0
JewelryDesigner,0
Merchandiser,0
ECommerceExecutive,0
MarketplaceManager,0
ProcurementAnalyst,0
VendorManager,0
TrainingCoordinator,0
LearningSpecialist,0
InstructionalDesigner,0
"Interview scheduled for software developer role",0
"Official recruitment drive by Wipro",0
"Campus placement interview next week",0
"Software engineer opening at Infosys",0
